what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1289569792447
os,sysinfo,,,"win32",1289569792452
arch,sysinfo,,,"x86_64",1289569792452
ws,sysinfo,,,"win32",1289569792452
locale,sysinfo,,,"en_US",1289569792452
processors,sysinfo,,,"4",1289569792452
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289569792452
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1289569792452
java.specification.name,sysinfo,,,"Java Platform API Specification",1289569792452
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289569792452
java.specification.version,sysinfo,,,"1.6",1289569792452
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289569792452
java.version,sysinfo,,,"1.6.0_15",1289569792452
java.vm.info,sysinfo,,,"mixed mode",1289569792452
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1289569792452
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289569792452
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289569792452
java.vm.specification.version,sysinfo,,,"1.0",1289569792452
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289569792452
java.vm.version,sysinfo,,,"14.1-b02",1289569792452
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1289569804106
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1289569811420
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569811725
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1289569813069
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1289569813085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569813166
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289569823626
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289569823980
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1289569832729
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1289569845897
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1289569845923
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1289569850142
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569850246
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569853924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569879475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569883133
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289569883169
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569887015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289569890305
