what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1291350627238
activated,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.DeviceView",1291350666197
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350682280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350693220
activated,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1291350693342
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291350716872
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351083976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351090403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351090870
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351105167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351111936
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291351112133
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1291351112683
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1291351113008
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1291351113208
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291351113306
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291351121587
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291351149904
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291351150245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291351211706
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291351215469
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291351241701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351242185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351280385
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291351297841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291351298201
